0:(6.77129172e-04,5.87620207e-08,1.20365875e-11,6.58124214e-13,1.71203974e-24,1.40825233e-16,7.07085179e-25)
0:(0.000846879458231023, 1.0955778879321372e-07, 1.3591889120158344e-10, 9.594198127438959e-11, 1.0952151964651781e-20, 2.300308655883074e-14, 2.912172426874074e-22)
0:(0.0007990026675132594, 8.811751677967047e-08, 7.156783819287183e-11, 7.668109687480163e-11, 5.6802508995983845e-21, 1.5156832153997388e-14, -5.9600261765793e-23)
0:(0.0008529513761281641, 1.4287614001551613e-07, 2.0146285027085254e-10, 1.724619545206725e-10, 3.202825413341856e-20, 5.43775001595118e-14, -2.7579398500402704e-21)
0:(0.0008386795845725315, 8.975520372764873e-08, 1.2726802673134277e-10, 1.1152361535948209e-10, 1.3241587348810224e-20, 2.2391739595411593e-14, 1.0912820647767138e-21)
0:(0.0006772988076054276, 5.8413654593965766e-08, 1.2383297106381563e-11, 6.520920514894615e-13, 1.737049628031419e-24, 1.4147841933179418e-16, 6.452626125445938e-25)
0:(0.0006773407142171097, 5.848306648114743e-08, 1.2355771430368351e-11, 6.501231018838244e-13, 1.727119913394153e-24, 1.4126581109617419e-16, 6.4201930673132705e-25)
0:(0.000677506822419521, 5.8139682733542405e-08, 1.2705331005309388e-11, 6.446297919081949e-13, 1.751296632442744e-24, 1.4181958697658897e-16, 5.7999335930046115e-25)
1:(1.94131715e-03,2.88382382e-06,1.51186259e-09,9.26334316e-10,1.09094158e-18,1.46736537e-12,1.07705451e-19)
2:(1.26094442e-03,2.27830313e-07,1.74947190e-10,1.01623054e-10,1.35366381e-20,4.85000588e-14,6.03396344e-22)
2:(0.0012427052936645653, 2.2383058500243622e-07, 1.5910811060472268e-10,8.5551525097215e-11, 9.981311046293343e-21, 4.041396393127038e-14, 9.664043414719488e-24)
3:(1.34037878e-03,4.93342472e-07,2.88821740e-10,6.84615112e-11,2.31734877e-21,-1.25342977e-14,-9.34378567e-21)
3:(0.0013501842273581153,5.059581251536012e-07,3.2321570250617054e-10,7.307885808228309e-11,2.8017391091505235e-21, -1.2842662902140696e-14, -1.0876331211601827e-20)
4:(1.03603533e-03,3.33824463e-07,3.59892558e-11,1.49307611e-11,3.16651695e-22,-9.92722376e-16,1.39718255e-22)
5:(1.17035887e-03,2.21069641e-07,6.83087060e-11,2.60069414e-11,6.69786738e-22,1.09322794e-14,8.67721958e-22)
6:(7.91008007e-04,1.19785460e-07,6.23241500e-11,1.75486368e-11,4.58996316e-22,4.11789405e-15,-3.55152894e-22)
7:(1.49366927e-03,3.05303763e-07,2.52476418e-09,2.21844451e-10,1.64891571e-19,1.17615496e-13,1.93987501e-20)
8:(9.80573774e-04,3.35995577e-07,1.45934013e-10,2.92626974e-11,1.89632190e-21,1.65015607e-14,-2.46474430e-22)
9:(8.29481685e-04,4.84297481e-08,9.96562165e-11,6.56461998e-11,4.93499973e-21,1.42094674e-14,-1.95914526e-21)
10:(9.37441453e-04,4.80001450e-08,1.65103035e-11,5.76492766e-11,1.75526382e-21,1.23247513e-14,2.86917600e-22)
11:(1.58836927e-03,1.53635661e-07,2.06036090e-10,1.09653465e-10,1.63902525e-20,1.53400723e-14,1.73494645e-21)
12:(1.39983296e-03,6.95263891e-08,9.79633435e-12,8.43262198e-11,-2.41249368e-21,-2.37421807e-15,2.32619130e-22)
13:(1.53617788e-03,1.01261230e-07,1.58701505e-10,1.75089939e-10,-1.75063748e-21,-3.03957763e-14,2.91339697e-20)
14:(1.28985566e-03,4.52821686e-08,4.68482371e-11,7.55571332e-11,1.79942434e-21,8.70113436e-15,4.11945402e-21)
15:(1.30300470e-03,4.98004008e-08,7.55476627e-11,7.00796433e-11,-3.62806929e-21,-1.29213486e-14,3.58308668e-21)
16:(9.92286295e-04,1.63219731e-08,6.10516768e-11,3.22614271e-11,1.20396006e-21,4.11757146e-15,-7.74889672e-22)
17:(1.57132455e-03,1.93391772e-07,1.57826891e-10,1.00113841e-10,1.25751787e-20,-1.69189638e-14,-4.81044506e-22)
18:(1.06523294e-03,1.02442542e-08,2.88973785e-11,5.74404346e-11,-2.01361817e-21,5.77714886e-15,1.19245508e-21)
18:(0.0013519292012794991, 5.481883113691415e-07, 1.4319360826799772e-10, 5.393824765254554e-11, 4.739026335255955e-21, 3.658277036379628e-14, -1.1046085032867454e-22)
19:(1.14266243e-03,1.57069629e-07,1.72082731e-11,1.67526095e-10,8.50926118e-21,4.49521760e-14,2.91534065e-21)
19:(0.0011038270030508898, 3.523738578074151e-08, 4.595365396021855e-11, 2.797604141483805e-11, -6.365950056543736e-22, 4.106908950277246e-15, -7.751994001637619e-22)
20:(1.07988629e-03,2.26970302e-07,2.89704079e-11,6.25310861e-11,2.04529077e-21,2.95243191e-14,1.70299678e-21)
21:(1.34879955e-03,5.35466073e-08,2.31199307e-10,1.86723182e-11,-1.14360577e-21,-2.14945243e-15,4.44208195e-22)
21:(0.0013498069658532206, 5.267563573569413e-08, 2.2465264409462023e-10, 1.920140776332158e-11, -1.1691630345559618e-21, -2.1646242854005324e-15, 4.727301913905463e-22)
22:(1.38938829e-03,2.69043731e-07,1.84486653e-11,1.30195769e-11,2.01296693e-22,-6.48353220e-15,-1.39551652e-23)
23:(1.51556422e-03,3.62404926e-07,2.45678920e-11,3.70294927e-11,-1.02371631e-21,-2.21532586e-14,4.46565271e-22)
24:(1.30346126e-03,2.12578179e-07,6.95385565e-12,1.36623091e-11,-2.79296709e-23,7.58142081e-16,-1.30205905e-22)
25:(1.31138700e-03,2.32713334e-07,7.12732515e-12,2.00379887e-11,-1.23727275e-22,-9.50461473e-15,2.05026069e-22)
26:(1.10581861e-03,1.71169896e-07,3.46300475e-11,3.85903387e-11,1.40924795e-21,1.59560063e-14,6.46853339e-23)
27:(1.47514611e-03,3.21064751e-07,2.37901747e-10,2.39913195e-11,-1.80509375e-21,-1.48744977e-15,-1.63777673e-22)
28:(1.12854851e-03,9.41396470e-08,4.45020271e-11,3.14719327e-11,-5.94243942e-22,6.89435785e-15,1.01691157e-21)
29:(1.23569107e-03,3.25864439e-07,2.05427422e-11,4.69003259e-11,-7.20159758e-22,1.59710954e-14,-1.26516342e-21)
30:(1.08992878e-03,2.30048669e-07,1.35270383e-10,9.74491633e-11,1.07843010e-20,4.06871205e-14,2.97984239e-21)
30:(0.0006807153531752461, 3.634048632767074e-08, 0.0, 0.0, 0.0, 0.0, 0.0)
30:(0,0,0,0,0,0,0)
31:(1.40394870e-03,3.33300770e-08,7.06074021e-10,4.65708642e-12,1.20807571e-22,-2.34300343e-16,2.38164943e-22)
32:(1.42123105e-03,2.57686629e-07,1.87529225e-10,2.50350485e-12,-9.71965963e-24,1.25957687e-15,5.33667810e-23)
33:(1.54923285e-03,3.74927078e-07,3.50060786e-11,8.26568309e-12,2.91150524e-23,-2.79832272e-15,-1.37553941e-22)
34:(1.33376967e-03,2.10860187e-07,1.41166208e-10,1.85016417e-11,6.34929130e-22,7.63214224e-15,7.00652880e-22)
35:(1.33713278e-03,2.37434289e-07,4.95049501e-11,4.22126238e-12,-5.83431342e-23,5.39584612e-16,-1.78825927e-23)
36:(1.11331457e-03,1.78576933e-07,9.04481873e-11,6.61382915e-11,5.03435595e-21,2.51129630e-14,-9.06946716e-22)
37:(1.51321206e-03,2.69559990e-07,6.41734018e-10,9.03644000e-12,6.23727017e-22,4.35836289e-15,-2.90678946e-22)
37:(0.001958603143889253, 1.8474190400747726e-06, 1.2021228303403267e-09, 1.8026111282509506e-10, 5.0045203131077875e-20, 1.559505540446242e-14, -6.735586350094753e-20)
38:(1.14251963e-03,8.14450383e-08,1.42202064e-10,3.49015087e-11,1.11743558e-21,9.94498774e-15,2.19018837e-21)
39:(1.25406682e-03,2.87831201e-07,1.35821440e-10,4.20866072e-11,-2.46712632e-21,2.22713941e-14,2.00957841e-21)
40:(1.11591274e-03,2.97398150e-07,5.52913241e-11,5.50028922e-11,2.97937475e-21,2.72978153e-14,-5.69097002e-22)
41:(1.41739847e-03,1.30409800e-07,1.52489194e-10,1.27489074e-10,6.78924653e-21,4.18251280e-14,-1.64281754e-20)
42:(1.46953338e-03,3.94130974e-07,1.48335159e-11,1.23249787e-11,2.28405066e-23,-3.59942064e-16,1.65075807e-22)
43:(1.61158051e-03,5.18223513e-07,7.52302594e-11,3.54873963e-11,5.09929342e-22,-1.13226617e-14,-1.76127956e-21)
44:(1.36876345e-03,3.27537838e-07,5.42974636e-12,1.31198895e-12,3.48862758e-24,-3.31891125e-16,-3.02861549e-25)
45:(1.37700955e-03,3.38598886e-07,3.18883515e-11,1.70576135e-11,2.53099836e-22,-2.81386512e-15,-3.06930288e-22)
46:(1.14593506e-03,2.28889812e-07,9.29692572e-11,2.86697550e-11,1.04518791e-21,1.25778955e-14,-1.04805795e-21)
47:(1.57455972e-03,4.95143464e-07,1.57839147e-10,7.66340500e-11,1.22880377e-23,4.40815655e-14,-8.42829190e-21)
48:(1.18348496e-03,1.45520936e-07,9.44654220e-11,1.52178848e-11,5.20297074e-24,4.53227212e-15,5.76965990e-22)
49:(1.30977313e-03,4.69713937e-07,1.85138253e-12,2.84460330e-11,-1.50000636e-22,1.11112063e-14,1.41826272e-22)
50:(1.11117822e-03,2.97941588e-07,1.00705878e-10,7.03790290e-11,5.92286785e-21,3.30113290e-14,-1.60940922e-22)
51:(1.36935035e-03,8.55061274e-08,3.97510024e-10,4.32489877e-11,4.32096497e-21,1.14256860e-14,-3.67236861e-21)
52:(1.42974270e-03,3.57585634e-07,9.07221098e-11,1.37840599e-12,-1.52430252e-23,4.64341646e-16,2.29110815e-24)
53:(1.56077735e-03,4.84929858e-07,1.39093072e-12,1.15058799e-11,3.81945260e-23,-2.65413851e-15,2.56876704e-23)
54:(1.33891295e-03,2.98252618e-07,5.40222147e-11,1.84562096e-12,1.79490471e-23,5.56817291e-16,-4.17814837e-24)
55:(1.34740029e-03,3.21952287e-07,8.10223011e-12,3.00446893e-12,1.16660291e-23,-9.45064700e-16,9.14565800e-24)
56:(1.13689637e-03,2.36402810e-07,9.95736870e-11,4.31152087e-11,2.35222625e-21,1.80633562e-14,-1.56449393e-21)
57:(1.52122336e-03,4.05761263e-07,3.87189927e-10,4.08558925e-11,2.75200369e-21,2.60227643e-14,-4.33953874e-21)
58:(1.15771778e-03,1.34270042e-07,1.31995051e-10,1.93915393e-11,6.00578828e-22,7.09151349e-15,7.75752057e-22)
59:(1.28081143e-03,3.95998946e-07,6.66705460e-11,2.19177797e-11,-5.97221152e-22,1.31433596e-14,5.87626742e-22)
60:(9.38527218e-04,2.00074483e-07,5.79671918e-13,2.15196304e-12,-5.88235157e-26,-8.82376595e-16,-2.40277573e-24)
60:(0.00106934592811187, 2.690616788125319e-07, 3.943879800191911e-10, 1.386262009037695e-10, 3.1634577455791185e-20, 7.148457433745035e-14, -7.064510350766563e-21)
60:(0.0009245346094772396, 2.933652675928133e-08, 2.2846495842416212e-10, 4.049491513498366e-11, 3.0537028974203527e-21, 6.429844349963285e-15, 2.4178789416827694e-21)
